ID,Name,Variable,Method,Class,Package,File,File Name
AP1,ExcessiveInterLanguageCommunicationDetectio,,nativeLessTimestamp,TableQuery,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/TableQuery.java
AP2,ExcessiveInterLanguageCommunicationDetectio,,nativeGetColumnName,Table,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/Table.java
AP3,ExcessiveInterLanguageCommunicationDetectio,,nativeLessEqual,TableQuery,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/TableQuery.java
AP4,ExcessiveInterLanguageCommunicationDetectio,,nativeSetNull,UncheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/UncheckedRow.java
AP5,ExcessiveInterLanguageCommunicationDetectio,,nativeEqual,TableQuery,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/TableQuery.java
AP6,ExcessiveInterLanguageCommunicationDetectio,,nativeCloseConfig,SharedRealm,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/SharedRealm.java
AP7,ExcessiveInterLanguageCommunicationDetectio,,nativeSetString,Table,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/Table.java
AP8,ExcessiveInterLanguageCommunicationDetectio,,nativeFindFirstNull,Table,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/Table.java
AP9,ExcessiveInterLanguageCommunicationDetectio,,nativeSetStringUnique,Table,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/Table.java
AP10,ExcessiveInterLanguageCommunicationDetectio,,nativeEqualTimestamp,TableQuery,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/TableQuery.java
AP11,ExcessiveInterLanguageCommunicationDetectio,,nativeAdd,LinkView,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/LinkView.java
AP12,ExcessiveInterLanguageCommunicationDetectio,,nativeDistinct,TableView,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/remainingForEILC/realm-java-v2.3.2/realm/realm-library/src/main/java/io/realm/internal/TableView.java
