Project,FileName,ASM,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC11,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC11,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC11,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC11,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC11,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC11,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC11,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.4.2,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.4.2,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.4.2,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.4.2,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.4.2,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.4.2,common/src/main/java/org/conscrypt/NativeCrypto.java,0,115,0,0,0,0,0,0,0,0,1,0,0,19,0,1
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.4.2,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.2.0,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.2.0,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.2.0,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.2.0,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.2.0,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.2.0,common/src/main/java/org/conscrypt/NativeCrypto.java,0,115,0,0,0,0,0,0,0,0,1,0,0,20,0,1
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.2.0,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.1,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.1,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.1,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.1,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.1,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.1,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.1,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC14,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC14,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC14,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC14,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC14,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC14,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC14,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC8,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC8,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC8,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC8,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC8,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC8,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC8,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.0.RC2,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/unbundled/include/nativehelper/scoped_utf_chars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/main/include/conscrypt/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-2.1.0,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/main/java/org/conscrypt/NativeCrypto.java,0,115,0,0,0,0,0,0,0,0,1,0,0,19,0,1
conscrypt-2.1.0,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/unbundled/include/nativehelper/scoped_local_ref.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-2.1.0,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conscrypt-1.1.1,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/main/java/org/conscrypt/NativeCrypto.java,0,115,0,0,0,0,0,0,0,0,1,0,0,18,0,1
conscrypt-1.1.1,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.1.1,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.2,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.2,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.2,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.2,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscrypt-1.0.2,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
