Project,SC,SNC,CNS,NSNC,Odds Ratio,p-value,CI Lower,CI Upper
conscrypt-1.0.0.RC11,2,2,1,8,8,0.202797202797203,0.459474246433977,139.289634830918
conscrypt-1.0.0.RC14,3,0,4,6,10.1111111111111,0.192307692307692,0.413110340963196,247.475208833716
conscrypt-1.0.0.RC2,1,3,0,9,8.14285714285714,0.307692307692308,0.264457286847009,250.725261684086
conscrypt-1.0.0.RC8,2,2,7,2,0.285714285714286,0.53006993006993,0.0231693038030362,3.52331057312681
conscrypt-1.0.1,3,0,3,7,15,0.0699300699300699,0.597298675218955,376.695963568847
conscrypt-1.0.2,0,3,0,10,3,1,0.0496014913984213,181.446157086447
conscrypt-1.1.1,1,2,1,9,4.5,0.423076923076923,0.18956652772857,106.822656102004
conscrypt-1.2.0,2,1,2,8,8,0.202797202797203,0.459474246433977,139.289634830918
conscrypt-1.4.2,3,0,3,7,15,0.0699300699300699,0.597298675218955,376.695963568847
conscrypt-2.1.0,1,2,1,9,4.5,0.423076923076923,0.18956652772857,106.822656102004
java-smt-0.60,1,0,1,0,1,1,0.0108201738707806,92.4199566423286
java-smt-1.0.1,1,0,1,1,3,1,0.0595275719044498,151.190443555237
java-smt-2.0.0,0,1,0,2,1.66666666666667,1,0.0202235451948511,137.353651450043
java-smt-2.0.0-alpha,1,0,1,1,3,1,0.0595275719044498,151.190443555237
java-smt-3.0.0,1,0,1,1,3,1,0.0595275719044498,151.190443555237
javacpp-0.5,12,0,0,0,,,,
javacpp-0.9,12,0,0,0,,,,
javacpp-1.1,14,0,0,0,,,,
javacpp-1.2,11,2,0,0,,,,
javacpp-1.2.1,13,0,0,0,,,,
javacpp-1.2.7,12,1,0,0,,,,
javacpp-1.3,9,4,0,0,,,,
javacpp-1.3.2,4,10,0,0,,,,
javacpp-1.4,4,11,0,0,,,,
javacpp-1.4.2,3,13,0,0,,,,
javacpp-1.4.4,3,15,0,0,,,,
javacpp-1.5,3,15,0,0,,,,
javacpp-1.5.1-1,3,15,0,0,,,,
jpype-v0.5.4.5,1,0,3,0,0.428571428571429,1,0.00546718701625461,33.5956075476605
jpype-v0.5.5.1,0,1,3,0,0.0476190476190476,0.25,0.00060746522402829,3.73284528307339
jpype-v0.5.5.4,0,2,0,2,1,1,0.0136493149568598,73.2637500973939
jpype-v0.5.6,0,2,1,1,0.2,1,0.0045326518490449,8.8248560295732
jpype-v0.5.7,0,3,1,1,0.142857142857143,0.4,0.00343236627236969,5.94579996592741
jpype-v0.6.0,0,3,0,2,0.714285714285714,1,0.0102640232457239,49.7080013770635
jpype-v0.6.1,1,2,1,1,0.5,1,0.012779613911683,19.5624063236725
jpype-v0.6.2,1,2,2,0,0.12,0.4,0.00312126198313322,4.61351853122718
jpype-v0.6.3,0,3,1,1,0.142857142857143,0.4,0.00343236627236969,5.94579996592741
jpype-v0.7,1,4,2,0,0.0666666666666667,0.142857142857143,0.00190646886020224,2.33124418511246
pljava-rel1_5_stable-base,3,17,5,25,0.882352941176471,1,0.185723355776169,4.1919698766431
pljava-V1_4_3,6,13,3,28,4.30769230769231,0.0670479745682354,0.928965102776912,19.9751454196527
pljava-V1_5_0,5,14,8,21,0.9375,1,0.253955118951155,3.46087235268153
pljava-V1_5_0b3,0,19,0,29,1.51282051282051,1,0.0287974075266797,79.4733311285121
