Project Name,,Smelly Files,Faulty Files,Smelly But Not Faulty,Faulty But Not Smelly,Both Smelly & Faulty,Not Smelly & Not Faulty
conscrypt-1.0.0.RC11,13,1,3,0,2,1,10
conscrypt-1.0.0.RC14,13,1,7,0,6,1,6
conscrypt-1.0.0.RC2,13,1,1,0,0,1,12
conscrypt-1.0.0.RC8,13,1,9,0,8,1,4
conscrypt-1.0.1,13,1,6,0,5,1,7
conscrypt-1.0.2,13,1,0,1,0,0,12
conscrypt-1.1.1,13,0,2,0,2,0,11
conscrypt-1.2.0,13,1,4,0,3,1,9
conscrypt-1.4.2,13,1,6,0,5,1,7
conscrypt-2.1.0,13,1,2,0,1,1,11
java-smt-0.60,2,1,2,0,1,1,0
java-smt-1.0.1,3,1,2,0,1,1,1
java-smt-2.0.0,3,1,0,1,0,0,2
java-smt-2.0.0-alpha,3,1,2,0,1,1,1
java-smt-3.0.0,3,1,2,0,1,1,1
javacpp-0.5,12,0,12,0,12,0,0
javacpp-0.9,12,1,12,0,11,1,0
javacpp-1.1,14,3,14,0,11,3,0
javacpp-1.2,13,7,11,0,4,7,2
javacpp-1.2.1,13,7,13,0,6,7,0
javacpp-1.2.7,13,9,12,1,4,8,0
javacpp-1.3,13,9,9,0,0,9,4
javacpp-1.4,15,9,4,7,2,2,4
javacpp-1.4.2,16,9,3,8,2,1,5
javacpp-1.4.4,18,11,3,11,3,0,4
javacpp-1.5,18,11,3,10,2,1,5
javacpp-1.5.1-1,18,12,3,10,1,2,5
jpype-v0.5.4.5,4,0,4,0,4,0,0
jpype-v0.5.5.1,4,0,3,0,3,0,1
jpype-v0.5.5.4,4,0,0,0,0,0,4
jpype-v0.5.6,4,0,1,0,1,0,3
jpype-v0.5.7,5,0,1,0,1,0,4
jpype-v0.6.0,5,0,0,0,0,0,5
jpype-v0.6.1,5,0,2,0,2,0,3
jpype-v0.6.2,5,0,3,0,3,0,2
jpype-v0.6.3,5,0,1,0,1,0,4
jpype-v0.7,7,1,3,1,3,0,3
pljava-rel1_5_stable-base,50,2,8,2,8,0,40
pljava-V1_4_3,50,2,9,2,9,0,39
pljava-V1_5_0,48,2,13,2,13,0,33
pljava-V1_5_0b3,48,2,0,2,0,0,46
pljava-V1_5_1b1,46,2,23,2,23,0,21
pljava-V1_5_1b2,52,3,9,3,9,0,40
pljava-V1_5_2,52,3,41,0,38,3,11
pljava-V1_5_3,47,3,17,2,16,1,28
realm-java-v0.90.0,44,5,30,0,25,5,14
realm-java-v1.2.0,32,6,7,1,2,5,24
realm-java-v2.3.2,49,0,46,0,46,0,3
realm-java-v3.7.2,64,11,37,3,29,8,24
realm-java-v4.4.0,67,0,8,0,8,0,59
realm-java-v5.11.0,79,0,8,0,8,0,71
realm-java-v5.15.0,81,12,2,11,1,1,68
realm-java-v5.9.0,77,12,13,10,11,2,54
rocksdb-v5.0.2,86,4,49,1,46,3,36
rocksdb-v5.11.2,121,9,60,5,56,4,56
rocksdb-v5.14.3,123,9,10,6,7,3,107
rocksdb-v5.17.2,125,9,18,6,15,3,101
rocksdb-v5.18.3,130,0,43,0,43,0,87
rocksdb-v5.4.6,93,6,82,0,76,6,11
rocksdb-v5.6.2,93,6,29,1,24,5,63
rocksdb-v5.9.2,103,7,33,3,29,4,67
rocksdb-v6.1.1,152,9,12,9,12,0,131
rocksdb-v6.2.2,152,9,7,7,5,2,138
vlc-3.0.0,57,4,14,1,11,3,42
vlc-3.0.13,57,4,27,0,23,4,30
vlc-3.0.92,33,5,9,3,7,2,21
vlc-3.1.2,33,5,13,3,11,2,17
vlc-3.1.6,33,5,8,3,6,2,22
zstd-jni-v0.4.4,6,2,6,0,4,2,0
zstd-jni-v1.3.0-1,14,0,2,0,2,0,12
zstd-jni-v1.3.2-2,14,5,3,4,2,1,7
zstd-jni-v1.3.3-1,14,0,4,0,4,0,10
zstd-jni-v1.3.4-1,15,5,5,2,2,3,8
zstd-jni-v1.3.4-8,15,5,10,0,5,5,5
zstd-jni-v1.3.5-3,15,5,5,3,3,2,7
zstd-jni-v1.3.7-1,15,5,10,0,5,5,5
zstd-jni-v1.3.8-1,15,0,10,0,10,0,5
zstd-jni-v1.4.0-1,15,4,4,2,2,2,9
zstd-jni-v1.4.2-1,15,4,7,0,3,4,8
